Timestamp	Speed (kmph)	Throttle	Steering	Brake	Gear	ImageName
1519516012	0	1.000000	1.000000	0.000000	N	img_0_0_1519516020687100.png
1519516274	0	1.000000	1.000000	0.000000	N	img_0_0_1519516283498600.png
1519516537	0	1.000000	1.000000	0.000000	1	img_0_0_1519516551609300.png
1519516807	2	1.000000	1.000000	0.000000	1	img_0_0_1519516817469600.png
1519517066	4	1.000000	1.000000	0.000000	1	img_0_0_1519517075942900.png
1519517322	6	1.000000	1.000000	0.000000	1	img_0_0_1519517333025100.png
1519517578	8	1.000000	1.000000	0.000000	1	img_0_0_1519517586542200.png
1519517834	9	1.000000	1.000000	0.000000	1	img_0_0_1519517842749100.png
1519518065	11	1.000000	1.000000	0.000000	1	img_0_0_1519518073629100.png
1519518292	12	1.000000	1.000000	0.000000	1	img_0_0_1519518300584800.png
1519518489	14	1.000000	0.000000	0.000000	1	img_0_0_1519518497410300.png
1519518659	15	1.000000	0.000000	0.000000	N	img_0_0_1519518669622400.png
1519518810	15	1.000000	1.000000	0.000000	N	img_0_0_1519518818582300.png
1519518934	17	1.000000	1.000000	0.000000	2	img_0_0_1519518943418300.png
1519519041	18	1.000000	1.000000	0.000000	2	img_0_0_1519519050068100.png
1519519148	19	1.000000	1.000000	0.000000	2	img_0_0_1519519162298800.png
1519519285	20	1.000000	1.000000	0.000000	2	img_0_0_1519519302320200.png
1519519488	20	1.000000	1.000000	0.000000	2	img_0_0_1519519501229000.png
1519519757	21	1.000000	1.000000	0.000000	2	img_0_0_1519519766599800.png
1519520064	21	1.000000	1.000000	0.000000	2	img_0_0_1519520073682600.png
1519520357	22	1.000000	1.000000	0.000000	2	img_0_0_1519520368092900.png
1519520616	21	0.000000	0.000000	0.000000	N	img_0_0_1519520629205600.png
1519520915	20	1.000000	0.000000	0.000000	N	img_0_0_1519520925561000.png
1519521211	19	1.000000	0.000000	0.000000	3	img_0_0_1519521220444900.png
1519521493	17	1.000000	0.000000	0.000000	3	img_0_0_1519521504063200.png
1519521672	16	1.000000	0.000000	0.000000	3	img_0_0_1519521681825200.png
1519521810	16	1.000000	0.000000	0.000000	3	img_0_0_1519521819479800.png
1519521935	15	1.000000	0.000000	0.000000	3	img_0_0_1519521946847500.png
1519522051	15	1.000000	-1.000000	0.000000	3	img_0_0_1519522059143100.png
1519522161	15	1.000000	-1.000000	0.000000	3	img_0_0_1519522169605600.png
1519522276	15	1.000000	-1.000000	0.000000	3	img_0_0_1519522285548400.png
1519522410	15	1.000000	0.000000	0.000000	N	img_0_0_1519522417304500.png
1519522532	17	1.000000	0.000000	0.000000	N	img_0_0_1519522540606000.png
