Timestamp	Speed (kmph)	Throttle	Steering	Brake	Gear	ImageName
706103270	0	0.000000	0.000000	0.000000	N	img_0_0_706103264169900.png
706103326	0	0.000000	0.000000	0.000000	N	img_0_0_706103343388500.png
706103385	0	0.000000	0.000000	0.000000	N	img_0_0_706103402925200.png
706103443	0	0.000000	0.000000	0.000000	N	img_0_0_706103460000900.png
706103508	0	0.000000	0.000000	0.000000	N	img_0_0_706103524231200.png
706103568	0	0.000000	0.000000	0.000000	N	img_0_0_706103585703600.png
706103630	0	0.000000	0.000000	0.000000	N	img_0_0_706103647605300.png
706103693	0	0.000000	0.000000	0.000000	N	img_0_0_706103707678500.png
706103753	0	0.000000	0.000000	0.000000	N	img_0_0_706103767756500.png
706103812	0	0.000000	0.000000	0.000000	N	img_0_0_706103827579600.png
706103870	0	0.000000	0.000000	0.000000	N	img_0_0_706103884437600.png
706103928	0	1.000000	0.000000	0.000000	N	img_0_0_706103948089500.png
706103986	0	1.000000	0.000000	0.000000	N	img_0_0_706104006293200.png
706104047	0	1.000000	0.000000	0.000000	N	img_0_0_706104065564100.png
706104105	0	1.000000	0.000000	0.000000	N	img_0_0_706104124482400.png
706104162	0	1.000000	0.000000	0.000000	N	img_0_0_706104176681900.png
706104221	0	1.000000	0.000000	0.000000	1	img_0_0_706104240952600.png
706104278	2	1.000000	0.000000	0.000000	1	img_0_0_706104297867400.png
706104335	3	1.000000	0.000000	0.000000	1	img_0_0_706104355016700.png
706104392	5	1.000000	0.000000	0.000000	1	img_0_0_706104412316800.png
706104451	6	1.000000	0.000000	0.000000	1	img_0_0_706104469772500.png
706104509	8	1.000000	0.000000	0.000000	1	img_0_0_706104528472400.png
706104570	9	1.000000	0.000000	0.000000	1	img_0_0_706104587890600.png
706104635	11	1.000000	0.000000	0.000000	1	img_0_0_706104650689300.png
706104696	12	1.000000	0.000000	0.000000	1	img_0_0_706104711905800.png
706104753	13	1.000000	0.000000	0.000000	1	img_0_0_706104770967200.png
706104813	14	1.000000	0.000000	0.000000	1	img_0_0_706104829238800.png
706104872	14	1.000000	0.000000	0.000000	1	img_0_0_706104889803100.png
706104932	14	1.000000	0.000000	0.000000	1	img_0_0_706104948792400.png
706104991	14	1.000000	0.000000	0.000000	1	img_0_0_706105007109500.png
706105049	14	1.000000	0.000000	0.000000	N	img_0_0_706105066812200.png
706105108	15	1.000000	0.000000	0.000000	N	img_0_0_706105123944400.png
706105166	15	1.000000	0.000000	0.000000	N	img_0_0_706105182029400.png
706105226	15	1.000000	0.000000	0.000000	2	img_0_0_706105241486700.png
706105285	17	1.000000	0.000000	0.000000	2	img_0_0_706105299924100.png
706105342	18	1.000000	0.000000	0.000000	2	img_0_0_706105355910700.png
